"symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"ITCI","Intra-Cellular Therapies Inc.","47.21","$1.66B","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/itci",
"IL","IntraLinks Holdings, Inc.","8.58","$496.68M","2010","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/il",
"SNOW","Intrawest Resorts Holdings, Inc.","8.95","$404.71M","2014","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/snow",
"IPI","Intrepid Potash, Inc","5.7","$434.17M","2008","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/ipi",
"XON","Intrexon Corporation","32.76","$3.6B","2013","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/xon",
"IIN","IntriCon Corporation","8.2642","$49.31M","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/iin",
"INTU","Intuit Inc.","97.71","$27.1B","1993","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/intu",
"ISRG","Intuitive Surgical, Inc.","496.55","$18.55B","2000","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/isrg",
"INUV","Inuvo, Inc","2.82","$68.45M","n/a","Consumer Services","Advertising","http://www.nasdaq.com/symbol/inuv",
"IVC","Invacare Corporation","18.29","$594.83M","n/a","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/ivc",
"INVN","InvenSense, Inc.","10.34","$948.29M","2011","Technology","Semiconductors","http://www.nasdaq.com/symbol/invn",
"INVT","Inventergy Global, Inc.","0.2554","$9.33M","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/invt",
"SNAK","Inventure Foods, Inc.","8.91","$174.49M","1996","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/snak",
"VKI","Invesco Advantage Municipal Income Trust II","11.32","$502.39M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vki",
"VBF","Invesco Bond Fund","18.18","$206.84M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vbf",
"VCV","Invesco California Value Municipal Income Trust","12.94","$619.27M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vcv",
"VTA","Invesco Credit Opportunities Fund","10.76","$797.25M","2007","n/a","n/a","http://www.nasdaq.com/symbol/vta",
"VLT","Invesco High Income Trust II","13.66","$110.9M","1989","n/a","n/a","http://www.nasdaq.com/symbol/vlt",
"IVR","INVESCO MORTGAGE CAPITAL INC","12.36","$1.52B","2009","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ivr",
"IVR^B","INVESCO MORTGAGE CAPITAL INC","23.05","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ivr^b",
